MRP,processor,RAM,os,RAM TYPE,Brand,ROM_SIZE,ROM_TYPE
38705,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
104990,Intel Core i7 Processor,16 GB,Windows 11 Operating System,LPDDR4X RAM,ASUS,512 GB,SSD
54900,,8 GB,Windows 11 Operating System,DDR4 RAM,DELL,256 GB,SSD
85990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,1 TB,SSD
35590,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
48184,,8 GB,Windows 11 Operating System,DDR4 RAM,DELL,512 GB,SSD
74990,Intel Core i5 Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
60990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,acer,512 GB,SSD
36990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,256 GB,SSD
49990,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
67990,,8 GB,Windows 11 Operating System,DDR4 RAM,DELL,512 GB,SSD
44990,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
58000,Intel Core i5 Processor,8 GB,Windows 10 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
29990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,LPDDR4X RAM,Infinix,256 GB,SSD
114990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11 Operating System,LPDDR5 RAM,ASUS,1 TB,SSD
33990,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
39990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,RedmiBook,512 GB,SSD
64990,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
79990,Intel Core i5 Processor,16 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
38705,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
85990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,1 TB,SSD
28990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,LPDDR4X RAM,Infinix,256 GB,SSD
56990,AMD Ryzen 5 Dual Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
81990,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
35590,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
38990,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 10 Operating System,DDR4 RAM,DELL,1 TB,HDD
79990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 10 Operating System,DDR4 RAM,HP,"1 TB,256 GB","HDD,SSD"
36990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,256 GB,SSD
39990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
109990,Intel Core i7 Processor,16 GB,Windows 11 Operating System,DDR5 RAM,ASUS,1 TB,SSD
62990,Intel Core i5 Processor,16 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
44990,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
47990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
